Id,Label,timeset,0,1,2,3,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
9479,BlueDragon3285,,None,None,2.112331,,0,1,1,0,3,3,11,0.179603,0.187464,0
9480,Fidel_Schapt,,None,None,0,,0,2,2,0,3,3,11,0.176054,0.183605,0
9481,pollopassow,,None,None,2.470588,,0,1,1,0,1,1,9,0.213284,0.225497,0
9482,Sosa62Sosa,,anr,anr,2.37,,10,9,19,13,18,31,9,0.258059,0.275497,3965.359272
9483,RamonitaPereira,,None,None,2.5,,1,5,6,1,6,7,8,0.244612,0.260062,74592.416421
9484,RocioValdez58,,None,None,0.640328,,0,1,1,0,1,1,10,0.215717,0.229458,0
9485,dieguimedina,,None,None,1.789157,,0,1,1,0,1,1,10,0.218646,0.233216,0
9486,AlizVeraOficial,,None,None,0.44007,,0,1,1,0,1,1,1,1,1,0
9487,RobertoEnciso95,,anr,anr,1.192,,0,3,3,0,5,5,9,0.21442,0.226326,0
9488,rorro_benitez,,None,None,4.197531,,0,1,1,0,1,1,9,0.243695,0.261159,0
9489,sergionoce,,anr,anr,3.074913,,4,14,18,4,17,21,9,0.238153,0.258888,42833.202595
9490,KureDumas,,None,None,0.338114,,18,6,24,24,6,30,9,0.217296,0.231536,82955.736367
9491,marialop98,,None,None,0.356436,,0,1,1,0,1,1,11,0.175492,0.182459,0
